Incident_ID,Date,Location,Trigger_Type,Spill_Volume_Barrels,Detected_By,Response_Time_Hours,Environmental_Impact_Score,Cleanup_Method,Financial_Loss_USD_M
INC1000,2023-01-01,Bay of Bengal,Natural Event,225.38,Automated Sensor,3.1,8.5,Skimmers,2.18
INC1001,2023-01-02,South China Sea,Infrastructure,123.18,Automated Sensor,4.1,1.1,Skimmers,4.65
INC1002,2023-01-03,North Sea,Infrastructure,38.63,Automated Sensor,9.0,4.4,Vacuum Trucks,1.26
INC1003,2023-01-04,South China Sea,Mechanical Failure,22.15,Automated Sensor,8.5,4.0,Vacuum Trucks,0.0
INC1004,2023-01-05,South China Sea,Natural Event,21.73,Coast Guard,2.9,1.2,Vacuum Trucks,1.17
INC1005,2023-01-06,Arabian Sea,Mechanical Failure,125.21,Automated Sensor,3.6,2.1,Bioremediation,3.06
INC1006,2023-01-07,North Sea,Human Error,48.0,Automated Sensor,5.1,4.7,Vacuum Trucks,2.24
INC1007,2023-01-08,North Sea,Human Error,55.68,Crew,7.8,5.4,Dispersants,1.69
INC1008,2023-01-09,North Sea,Mechanical Failure,86.5,Satellite,5.1,4.6,Bioremediation,2.84
INC1009,2023-01-10,South China Sea,Infrastructure,40.38,Satellite,3.7,5.8,Skimmers,0.0
INC1010,2023-01-11,Bay of Bengal,Infrastructure,68.84,Crew,4.9,6.4,Skimmers,2.21
INC1011,2023-01-12,North Sea,Mechanical Failure,37.41,Crew,3.7,1.1,Skimmers,3.68
INC1012,2023-01-13,South China Sea,Mechanical Failure,51.37,Coast Guard,6.2,5.2,Bioremediation,2.82
INC1013,2023-01-14,Arabian Sea,Human Error,142.22,Coast Guard,3.6,9.7,Dispersants,3.04
INC1014,2023-01-15,Bay of Bengal,Infrastructure,89.91,Coast Guard,4.0,5.7,Vacuum Trucks,4.4
INC1015,2023-01-16,Arabian Sea,Mechanical Failure,141.85,Crew,7.3,7.1,Vacuum Trucks,1.9
INC1016,2023-01-17,Bay of Bengal,Human Error,47.46,Crew,3.5,3.8,Skimmers,1.02
INC1017,2023-01-18,South China Sea,Infrastructure,125.86,Automated Sensor,2.1,8.0,Skimmers,3.78
INC1018,2023-01-19,Gulf of Mexico,Natural Event,16.24,Coast Guard,5.2,8.0,Bioremediation,3.76
INC1019,2023-01-20,Bay of Bengal,Human Error,86.48,Coast Guard,4.3,5.7,Dispersants,2.84
INC1020,2023-01-21,Arabian Sea,Infrastructure,131.72,Coast Guard,6.0,9.8,Vacuum Trucks,1.76
INC1021,2023-01-22,South China Sea,Infrastructure,15.51,Satellite,5.6,2.1,Bioremediation,2.0
INC1022,2023-01-23,Bay of Bengal,Human Error,47.94,Automated Sensor,4.9,1.2,Vacuum Trucks,0.08
INC1023,2023-01-24,Gulf of Mexico,Natural Event,86.43,Coast Guard,4.9,7.9,Skimmers,3.67
INC1024,2023-01-25,Gulf of Mexico,Human Error,166.63,Coast Guard,3.5,8.3,Vacuum Trucks,3.62
INC1025,2023-01-26,North Sea,Infrastructure,51.37,Coast Guard,5.2,2.1,Dispersants,0.03
INC1026,2023-01-27,North Sea,Mechanical Failure,122.42,Satellite,6.8,3.4,Dispersants,3.3
INC1027,2023-01-28,Arabian Sea,Mechanical Failure,215.32,Satellite,3.1,1.2,Skimmers,2.61
INC1028,2023-01-29,Bay of Bengal,Human Error,126.41,Crew,5.0,3.6,Dispersants,0.47
INC1029,2023-01-30,Bay of Bengal,Infrastructure,70.9,Automated Sensor,7.1,8.0,Dispersants,0.19
INC1030,2023-01-31,North Sea,Mechanical Failure,109.66,Crew,6.0,5.7,Bioremediation,2.56
INC1031,2023-02-01,Bay of Bengal,Infrastructure,50.11,Automated Sensor,7.6,4.1,Vacuum Trucks,1.4
INC1032,2023-02-02,Bay of Bengal,Human Error,89.05,Satellite,3.9,4.3,Skimmers,4.73
INC1033,2023-02-03,Gulf of Mexico,Mechanical Failure,73.68,Coast Guard,1.3,1.0,Skimmers,3.43
